date,dc_id,load_MW,cooling_kW
2019-01-01,DC_01,57.7,6192.7
2019-01-02,DC_01,57.74,6265.0
2019-01-03,DC_01,58.14,6153.1
2019-01-04,DC_01,57.09,6170.5
2019-01-05,DC_01,57.55,5992.6
2019-01-06,DC_01,57.11,6307.1
2019-01-07,DC_01,56.45,6098.9
2019-01-08,DC_01,57.23,6130.8
2019-01-09,DC_01,57.96,6160.8
2019-01-10,DC_01,56.82,6070.9
2019-01-11,DC_01,56.86,6230.0
2019-01-12,DC_01,57.42,6110.6
2019-01-13,DC_01,57.67,6092.6
2019-01-14,DC_01,57.72,6253.5
2019-01-15,DC_01,57.91,5921.9
2019-01-16,DC_01,56.61,6013.6
2019-01-17,DC_01,57.95,6163.3
2019-01-18,DC_01,56.14,6197.4
2019-01-19,DC_01,56.27,6217.2
2019-01-20,DC_01,56.34,5895.9
2019-01-21,DC_01,57.28,6069.1
2019-01-22,DC_01,56.31,6180.8
2019-01-23,DC_01,56.59,6004.5
2019-01-24,DC_01,56.84,6092.4
2019-01-25,DC_01,57.66,6186.2
2019-01-26,DC_01,57.64,6107.7
2019-01-27,DC_01,57.37,6127.6
2019-01-28,DC_01,56.3,6089.8
2019-01-29,DC_01,57.18,6162.9
2019-01-30,DC_01,56.78,6144.1
2019-01-31,DC_01,56.98,6180.0
2019-02-01,DC_01,57.04,6177.7
2019-02-02,DC_01,56.8,6186.5
2019-02-03,DC_01,56.65,6066.0
2019-02-04,DC_01,57.01,6106.3
2019-02-05,DC_01,56.69,6123.7
2019-02-06,DC_01,57.42,6243.7
2019-02-07,DC_01,57.06,6135.0
2019-02-08,DC_01,57.49,6233.5
2019-02-09,DC_01,57.54,6219.2
2019-02-10,DC_01,57.79,6237.5
2019-02-11,DC_01,56.5,6237.0
2019-02-12,DC_01,56.96,5997.5
2019-02-13,DC_01,56.55,6043.5
2019-02-14,DC_01,57.86,6024.0
2019-02-15,DC_01,57.23,6181.5
2019-02-16,DC_01,56.59,6049.9
2019-02-17,DC_01,56.87,6058.1
2019-02-18,DC_01,57.18,6028.5
2019-02-19,DC_01,56.81,6138.5
2019-02-20,DC_01,56.44,6065.9
2019-02-21,DC_01,57.1,6041.4
2019-02-22,DC_01,57.66,6084.3
2019-02-23,DC_01,56.88,6161.2
2019-02-24,DC_01,57.11,5924.9
2019-02-25,DC_01,56.62,6087.8
2019-02-26,DC_01,56.93,6051.7
2019-02-27,DC_01,57.05,6149.9
2019-02-28,DC_01,56.67,6066.3
2019-03-01,DC_01,56.47,6018.6
2019-03-02,DC_01,56.39,6232.3
2019-03-03,DC_01,56.58,6213.1
2019-03-04,DC_01,56.64,6100.5
2019-03-05,DC_01,56.78,6124.7
2019-03-06,DC_01,56.94,6020.4
2019-03-07,DC_01,56.9,6089.8
2019-03-08,DC_01,56.83,6293.8
2019-03-09,DC_01,56.84,6173.4
2019-03-10,DC_01,56.31,5973.8
2019-03-11,DC_01,56.79,6083.9
2019-03-12,DC_01,56.01,6073.8
2019-03-13,DC_01,56.31,6112.2
2019-03-14,DC_01,55.97,6159.1
2019-03-15,DC_01,56.56,6004.0
2019-03-16,DC_01,57.26,6104.2
2019-03-17,DC_01,57.02,6000.0
2019-03-18,DC_01,56.96,6089.8
2019-03-19,DC_01,57.15,6068.2
2019-03-20,DC_01,56.73,6208.5
2019-03-21,DC_01,56.45,6025.5
2019-03-22,DC_01,56.91,6156.8
2019-03-23,DC_01,56.23,5841.4
2019-03-24,DC_01,56.79,6249.8
2019-03-25,DC_01,57.14,6095.0
2019-03-26,DC_01,56.68,6073.8
2019-03-27,DC_01,57.13,6052.5
2019-03-28,DC_01,56.88,6119.2
2019-03-29,DC_01,56.16,6040.0
2019-03-30,DC_01,56.52,6066.4
2019-03-31,DC_01,57.24,6196.3
2019-04-01,DC_01,57.09,6047.3
2019-04-02,DC_01,56.45,6075.6
2019-04-03,DC_01,56.72,6070.7
2019-04-04,DC_01,56.97,6156.2
2019-04-05,DC_01,56.71,6085.0
2019-04-06,DC_01,56.51,6013.4
2019-04-07,DC_01,56.95,6086.5
2019-04-08,DC_01,57.67,6145.7
2019-04-09,DC_01,56.96,5965.3
2019-04-10,DC_01,57.15,6129.7
2019-04-11,DC_01,56.28,6084.7
2019-04-12,DC_01,56.37,6133.2
2019-04-13,DC_01,56.54,6099.5
2019-04-14,DC_01,56.73,6074.0
2019-04-15,DC_01,56.73,6094.4
2019-04-16,DC_01,57.08,5951.0
2019-04-17,DC_01,57.34,6020.2
2019-04-18,DC_01,57.7,5978.7
2019-04-19,DC_01,55.81,6221.0
2019-04-20,DC_01,56.54,6208.5
2019-04-21,DC_01,57.69,5905.2
2019-04-22,DC_01,57.17,6130.2
2019-04-23,DC_01,56.98,6089.4
2019-04-24,DC_01,55.89,6150.8
2019-04-25,DC_01,56.18,6100.3
2019-04-26,DC_01,57.35,6075.0
2019-04-27,DC_01,56.79,6101.5
2019-04-28,DC_01,57.05,6145.4
2019-04-29,DC_01,56.86,6064.9
2019-04-30,DC_01,57.92,6042.7
2019-05-01,DC_01,56.8,6123.5
2019-05-02,DC_01,56.18,6157.7
2019-05-03,DC_01,57.2,6110.8
2019-05-04,DC_01,57.06,6067.4
2019-05-05,DC_01,56.73,5975.1
2019-05-06,DC_01,57.13,5975.6
2019-05-07,DC_01,57.43,6069.9
2019-05-08,DC_01,57.06,6144.5
2019-05-09,DC_01,56.57,6081.4
2019-05-10,DC_01,57.26,6044.1
2019-05-11,DC_01,56.46,5968.5
2019-05-12,DC_01,57.29,6135.9
2019-05-13,DC_01,57.63,6210.7
2019-05-14,DC_01,56.6,6070.5
2019-05-15,DC_01,56.38,6150.0
2019-05-16,DC_01,58.1,6037.5
2019-05-17,DC_01,57.27,6184.4
2019-05-18,DC_01,56.42,6098.5
2019-05-19,DC_01,56.4,6163.6
2019-05-20,DC_01,57.0,6151.4
2019-05-21,DC_01,57.51,6170.9
2019-05-22,DC_01,56.19,6100.4
2019-05-23,DC_01,57.54,6067.0
2019-05-24,DC_01,56.65,6137.3
2019-05-25,DC_01,57.89,6145.2
2019-05-26,DC_01,57.36,6291.4
2019-05-27,DC_01,57.77,6068.2
2019-05-28,DC_01,57.08,6214.4
2019-05-29,DC_01,57.09,6106.1
2019-05-30,DC_01,57.99,6073.5
2019-05-31,DC_01,56.81,5927.8
2019-06-01,DC_01,57.57,6109.3
2019-06-02,DC_01,57.55,6107.9
2019-06-03,DC_01,58.02,6118.1
2019-06-04,DC_01,56.95,6219.4
2019-06-05,DC_01,56.89,6117.6
2019-06-06,DC_01,57.77,6153.6
2019-06-07,DC_01,57.23,6047.5
2019-06-08,DC_01,56.84,6181.0
2019-06-09,DC_01,57.13,6061.1
2019-06-10,DC_01,56.5,6187.4
